uri,coordinates
"http://maps.google.com/maps?f=d&source=s_d&saddr=43.018928,-76.122847&daddr=43.015119,-76.120723","--- 
LonLat: 
- - -76.12285
  - 43.01892
- - -76.12232
  - 43.01835
- - -76.12212
  - 43.01823
- - -76.12181
  - 43.01816
- - -76.12157
  - 43.01818
- - -76.12144
  - 43.01823
- - -76.12105
  - 43.01861
- - -76.12086
  - 43.01863
- - -76.1207
  - 43.01859
- - -76.12052
  - 43.01846
- - -76.11984
  - 43.01772
- - -76.11984
  - 43.01772
- - -76.11995
  - 43.01757
- - -76.12001
  - 43.0172
- - -76.1201
  - 43.01708
- - -76.12057
  - 43.01671
- - -76.12057
  - 43.01671
- - -76.12086
  - 43.01646
- - -76.12095
  - 43.0162
- - -76.12076
  - 43.01562
- - -76.12078
  - 43.0152
- - -76.12073
  - 43.01512
"
"http://maps.google.com/maps?f=d&source=s_d&saddr=43.045537,-76.119676&daddr=43.04859,-76.14556+to:43.04869,-76.152224&hl=en&geocode=FaHSkAIdhIF2-w%3BFY7ekAIdaBx2-ymnf1AQu_PZiTE3nTkIRY5DfA%3BFfLekAIdYAJ2-w&mra=dpe&mrsp=1&sz=16&via=1&sll=43.048506,-76.147742&sspn=0.005849,0.008755&ie=UTF8&t=h&z=16","--- 
LonLat: 
- - -76.11968
  - 43.04553
- - -76.12024
  - 43.0456
- - -76.12069
  - 43.04571
- - -76.12161
  - 43.04617
- - -76.12412
  - 43.04705
- - -76.13637
  - 43.04686
- - -76.13899
  - 43.04707
- - -76.13972
  - 43.04721
- - -76.14017
  - 43.04735
- - -76.14163
  - 43.04738
- - -76.14363
  - 43.04752
- - -76.14372
  - 43.04749
- - -76.14406
  - 43.04752
- - -76.1443
  - 43.04757
- - -76.14557
  - 43.04802
- - -76.14557
  - 43.04802
- - -76.14556
  - 43.04859
- - -76.14556
  - 43.04859
- - -76.15223
  - 43.04868
"
"http://maps.google.com/maps?f=d&source=s_d&saddr=43.044246,-76.139172&daddr=43.045485,-76.147508","--- 
LonLat: 
- - -76.13919
  - 43.04424
- - -76.1405
  - 43.04428
- - -76.14132
  - 43.04437
- - -76.14174
  - 43.04438
- - -76.14288
  - 43.04438
- - -76.14359
  - 43.0443
- - -76.14416
  - 43.04428
- - -76.14752
  - 43.04429
- - -76.14752
  - 43.04429
- - -76.1475
  - 43.04548
"
"http://maps.google.com/maps?f=d&source=s_d&saddr=43.009982,-76.133228&daddr=43.018619,-76.132921","--- 
LonLat: 
- - -76.13322
  - 43.00999
- - -76.13469
  - 43.01258
- - -76.13687
  - 43.01623
- - -76.13781
  - 43.01768
- - -76.13781
  - 43.01768
- - -76.13475
  - 43.01822
- - -76.13291
  - 43.01862
"
"http://maps.google.com/maps?f=d&source=s_d&saddr=43.045485,-76.147508&daddr=43.048699,-76.152229","--- 
LonLat: 
- - -76.1475
  - 43.04548
- - -76.14752
  - 43.04429
- - -76.14752
  - 43.04429
- - -76.14884
  - 43.04427
- - -76.15217
  - 43.04431
- - -76.15217
  - 43.04431
- - -76.15226
  - 43.0446
- - -76.15223
  - 43.0487
"
"http://maps.google.com/maps?f=d&source=s_d&saddr=43.049538,-76.158108&daddr=43.049453,-76.141081&hl=en&geocode=FULikAIdZOt1-w%3BFe3hkAId5y12-w&mra=ltm&dirflg=w&sll=43.049855,-76.151133&sspn=0.011698,0.020084&ie=UTF8&ll=43.049541,-76.149631&spn=0.011698,0.020084&t=h&z=15","--- 
LonLat: 
- - -76.15811
  - 43.04953
- - -76.15552
  - 43.04962
- - -76.14108
  - 43.04945
"
"http://maps.google.com/maps?f=d&source=s_d&saddr=43.076556,-76.169244&daddr=43.048682,-76.152233","--- 
LonLat: 
- - -76.1693
  - 43.07652
- - -76.16972
  - 43.0767
- - -76.16982
  - 43.07668
- - -76.17031
  - 43.07605
- - -76.1703
  - 43.07597
- - -76.16965
  - 43.07544
- - -76.16965
  - 43.07544
- - -76.17097
  - 43.07466
- - -76.17097
  - 43.07466
- - -76.17341
  - 43.07663
- - -76.17341
  - 43.07663
- - -76.174
  - 43.07692
- - -76.1751
  - 43.0772
- - -76.17547
  - 43.07733
- - -76.1762
  - 43.07775
- - -76.1762
  - 43.07775
- - -76.17668
  - 43.07814
- - -76.17701
  - 43.07851
- - -76.17773
  - 43.07964
- - -76.17773
  - 43.07964
- - -76.17785
  - 43.07928
- - -76.17785
  - 43.07886
- - -76.17755
  - 43.07785
- - -76.17734
  - 43.07755
- - -76.17702
  - 43.07724
- - -76.1764
  - 43.07687
- - -76.1764
  - 43.07687
- - -76.17622
  - 43.07677
- - -76.17431
  - 43.0761
- - -76.17361
  - 43.07571
- - -76.17121
  - 43.0737
- - -76.17076
  - 43.07318
- - -76.17054
  - 43.07284
- - -76.16944
  - 43.0709
- - -76.1691
  - 43.07043
- - -76.16899
  - 43.07037
- - -76.16859
  - 43.06987
- - -76.1678
  - 43.06909
- - -76.16558
  - 43.06711
- - -76.16527
  - 43.06691
- - -76.16459
  - 43.06658
- - -76.16123
  - 43.06521
- - -76.16044
  - 43.06476
- - -76.15999
  - 43.06441
- - -76.15826
  - 43.0625
- - -76.15773
  - 43.06208
- - -76.15652
  - 43.06125
- - -76.15609
  - 43.06085
- - -76.15568
  - 43.06033
- - -76.15505
  - 43.05951
- - -76.1543
  - 43.05836
- - -76.15407
  - 43.05786
- - -76.15356
  - 43.05624
- - -76.15356
  - 43.05624
- - -76.15345
  - 43.05566
- - -76.15345
  - 43.05566
- - -76.15323
  - 43.0552
- - -76.15302
  - 43.05491
- - -76.15244
  - 43.05432
- - -76.15213
  - 43.05388
- - -76.15223
  - 43.04868
"
"http://maps.google.com/maps?f=d&source=s_d&saddr=43.036818,-76.118941&daddr=43.04553,-76.119687","--- 
LonLat: 
- - -76.11893
  - 43.03681
- - -76.11968
  - 43.04553
"
"http://maps.google.com/maps?f=d&source=s_d&saddr=43.010858,-76.115912&daddr=43.022697,-76.126007","--- 
LonLat: 
- - -76.11591
  - 43.01084
- - -76.11547
  - 43.01082
- - -76.11536
  - 43.01086
- - -76.11532
  - 43.01097
- - -76.11532
  - 43.01097
- - -76.11578
  - 43.01114
- - -76.11616
  - 43.01136
- - -76.11634
  - 43.01148
- - -76.11674
  - 43.01189
- - -76.11819
  - 43.01442
- - -76.11893
  - 43.01535
- - -76.11974
  - 43.01609
- - -76.12027
  - 43.0165
- - -76.1225
  - 43.01802
- - -76.1228
  - 43.01829
- - -76.1232
  - 43.01876
- - -76.12329
  - 43.01889
- - -76.12351
  - 43.01977
- - -76.12385
  - 43.0207
- - -76.12383
  - 43.02099
- - -76.1236
  - 43.02182
- - -76.1236
  - 43.02182
- - -76.12438
  - 43.02205
- - -76.126
  - 43.0227
"
"http://maps.google.com/maps?f=d&source=s_d&saddr=43.037288,-76.131468&daddr=43.024648,-76.121802","--- 
LonLat: 
- - -76.13146
  - 43.03729
- - -76.13134
  - 43.03632
- - -76.13129
  - 43.03626
- - -76.13129
  - 43.03626
- - -76.13122
  - 43.03621
- - -76.13107
  - 43.0362
- - -76.12817
  - 43.03635
- - -76.12817
  - 43.03635
- - -76.12797
  - 43.03404
- - -76.12797
  - 43.03404
- - -76.128
  - 43.03377
- - -76.12795
  - 43.03353
- - -76.12773
  - 43.03309
- - -76.1275
  - 43.03283
- - -76.12701
  - 43.03243
- - -76.12672
  - 43.03205
- - -76.12661
  - 43.03157
- - -76.12654
  - 43.03076
- - -76.12642
  - 43.03054
- - -76.12634
  - 43.0305
- - -76.125
  - 43.03053
- - -76.12486
  - 43.03047
- - -76.12453
  - 43.03017
- - -76.1243
  - 43.03012
- - -76.12228
  - 43.03022
- - -76.12228
  - 43.03022
- - -76.12181
  - 43.02464
"
"http://maps.google.com/maps?f=d&source=s_d&saddr=43.018387,-76.116305&daddr=43.0209711,-76.1166652+to:43.021516,-76.118861&hl=en&geocode=FZNokAIdr452-w%3BFatykAIdR412-yk1fRtRYvPZiTEH9WSUNXPkBA%3BFcx0kAIds4R2-w&mra=dvme&mrsp=1&sz=16&via=1&sll=43.019223,-76.11768&sspn=0.005852,0.010042&ie=UTF8&t=h&z=16","--- 
LonLat: 
- - -76.11629
  - 43.01839
- - -76.11625
  - 43.01864
- - -76.11611
  - 43.01894
- - -76.11612
  - 43.0193
- - -76.11625
  - 43.01967
- - -76.11657
  - 43.02001
- - -76.1167
  - 43.02032
- - -76.11665
  - 43.02066
- - -76.11649
  - 43.02087
- - -76.11649
  - 43.02087
- - -76.1173
  - 43.02135
- - -76.11756
  - 43.02158
- - -76.11756
  - 43.02158
- - -76.11887
  - 43.02151
"
"http://maps.google.com/maps?f=d&source=s_d&saddr=43.049538,-76.158108&daddr=43.043415,-76.159385","--- 
LonLat: 
- - -76.15811
  - 43.04953
- - -76.15865
  - 43.04951
- - -76.15865
  - 43.04951
- - -76.15881
  - 43.04973
- - -76.15889
  - 43.0501
- - -76.15838
  - 43.05264
- - -76.15806
  - 43.05366
- - -76.15806
  - 43.05366
- - -76.15773
  - 43.05389
- - -76.15725
  - 43.05397
- - -76.15689
  - 43.05389
- - -76.15607
  - 43.05352
- - -76.15607
  - 43.05352
- - -76.15564
  - 43.05338
- - -76.15488
  - 43.05335
- - -76.15488
  - 43.05335
- - -76.15484
  - 43.05444
- - -76.1547
  - 43.05471
- - -76.1547
  - 43.05471
- - -76.15481
  - 43.05479
- - -76.15481
  - 43.05479
- - -76.1551
  - 43.05467
- - -76.15539
  - 43.05463
- - -76.157
  - 43.0547
- - -76.15746
  - 43.05466
- - -76.15773
  - 43.05458
- - -76.15807
  - 43.0544
- - -76.15833
  - 43.05412
- - -76.15842
  - 43.05394
- - -76.15849
  - 43.05345
- - -76.15849
  - 43.05345
- - -76.15852
  - 43.05304
- - -76.15903
  - 43.05041
- - -76.1591
  - 43.04981
- - -76.15878
  - 43.04808
- - -76.15879
  - 43.04774
- - -76.15891
  - 43.0474
- - -76.15892
  - 43.04713
- - -76.15819
  - 43.04345
- - -76.15819
  - 43.04345
- - -76.15938
  - 43.0434
"
"http://maps.google.com/maps?f=d&source=s_d&saddr=43.046896,-76.134333&daddr=43.037295,-76.131454","--- 
LonLat: 
- - -76.13433
  - 43.04688
- - -76.1345
  - 43.0394
- - -76.1345
  - 43.0394
- - -76.1316
  - 43.03936
- - -76.1316
  - 43.03936
- - -76.13146
  - 43.03729
"
"http://maps.google.com/maps?f=d&source=s_d&saddr=43.044303,-76.140502&daddr=43.045482,-76.147504","--- 
LonLat: 
- - -76.1405
  - 43.04428
- - -76.14132
  - 43.04437
- - -76.14174
  - 43.04438
- - -76.14288
  - 43.04438
- - -76.14359
  - 43.0443
- - -76.14416
  - 43.04428
- - -76.14752
  - 43.04429
- - -76.14752
  - 43.04429
- - -76.1475
  - 43.04548
"
"http://maps.google.com/maps?f=d&source=s_d&saddr=43.0459,-76.147508&daddr=43.049538,-76.158108","--- 
LonLat: 
- - -76.14749
  - 43.0459
- - -76.14742
  - 43.04862
- - -76.14742
  - 43.04862
- - -76.15552
  - 43.0487
- - -76.15552
  - 43.0487
- - -76.15552
  - 43.04962
- - -76.15552
  - 43.04962
- - -76.15811
  - 43.04953
"
