"Direction","Outbound",,,,,,,,,,,,,
"Start Date","8/29/2011",,,,,,,,,,,,,
"End date","5/1/20112",,,,,,,,,,,,,
"Route","Days","Display Name","College Place","Manley North","Manley South","Chinook & Farm Acre","Small Rd. & Lambreth","Slocum Dr. & Lambreth Lane","Sky Hall","Winding Ridge","Sky Hall","Skytop Offices","Goldstein Student Center","NOTE"
,,,"43.037288,-76.131468","43.026292,-76.128887","43.022697,-76.126007","43.018928,-76.122847","43.021516,-76.118861","43.018387,-76.116305","43.017134,-76.116913","43.015119,-76.120723","43.017134,-76.116913","43.010848,-76.115862","43.016084,-76.11973",
"144","W","Winding Ridge","06.53","06.56","06.57","06.59",,,,"07.01",,,"07.08",
"144","W","Winding Ridge","07.23","07.26","07.27","07.29",,,,"07.31",,,"07.38",
"144","W","Winding Ridge","07.48","07.51","07.52","07.54",,,,"07.56",,,"08.03",
"144","W","Winding Ridge","08.10","08.13","08.14","08.16",,,,"08.18",,,"08.25",
"144","W","Winding Ridge","08.15","08.18","08.19","08.21",,,,"08.23",,,"08.30",
"144","W","Winding Ridge","08.19","08.22","08.23","08.25",,,,"08.27",,,"08.34",
"144","W","Winding Ridge","08.20","08.23","08.24","08.26",,,,"08.28",,,"08.35",
"144","W","Winding Ridge","08.30","08.33","08.34","08.36",,,,"08.38",,,"08.45",
"144","W","Winding Ridge","08.47","08.50","08.51","08.53",,,,"08.55",,,"09.02",
"144","W","Winding Ridge","08.50","08.53","08.54","08.56",,,,"08.58",,,"09.05",
"144","W","Winding Ridge","09.12","09.16","09.17","09.19",,,,"09.21","09.23",,"09.30",
"144","W","Winding Ridge","09.24","09.28","09.29","09.31",,,,"09.33","09.35",,"09.42",
"144","W","Winding Ridge","09.36","09.40","09.41","09.43",,,,"09.45","09.47",,"09.54",
"144","W","Winding Ridge","09.48","09.52","09.53","09.55",,,,"09.57","09.59",,"10.06",
"144","W","Winding Ridge","10.00","10.04","10.05","10.07",,,,"10.09","10.11",,"10.18",
"144","W","Winding Ridge","10.12","10.16","10.17","10.19",,,,"10.21","10.23",,"10.30",
"144","W","Winding Ridge","10.24","10.28","10.29","10.31",,,,"10.33","10.35",,"10.42",
"144","W","Winding Ridge","10.36","10.40","10.41","10.43",,,,"10.45","10.47",,"10.54",
"144","W","Winding Ridge","10.48","10.52","10.53","10.55",,,,"10.57","10.59",,"11.06",
"144","W","Winding Ridge","11.00","11.04","11.05","11.07",,,,"11.09","11.11",,"11.18",
"144","W","Winding Ridge","11.12","11.16","11.17","11.19",,,,"11.21","11.23",,"11.30",
"144","W","Winding Ridge","11.24","11.28","11.29","11.31",,,,"11.33","11.35",,"11.42",
"144","W","Winding Ridge","11.36","11.40","11.41","11.43",,,,"11.45","11.47",,"11.54",
"144","W","Winding Ridge","11.48","11.52","11.53","11.55",,,,"11.57","11.59",,"12.06",
"144","W","Winding Ridge","12.00","12.04","12.05","12.07",,,,"12.09","12.11",,"12.18",
"144","W","Winding Ridge","12.12","12.16","12.17","12.19",,,,"12.21","12.23",,"12.30",
"144","W","Winding Ridge","12.24","12.28","12.29","12.31",,,,"12.33","12.35",,"12.42",
"144","W","Winding Ridge","12.36","12.40","12.41","12.43",,,,"12.45","12.47",,"12.54",
"144","W","Winding Ridge","12.48","12.52","12.53","12.55",,,,"12.57","12.59",,"13.06",
"144","W","Winding Ridge","13.00","13.04","13.05","13.07",,,,"13.09","13.11",,"13.18",
"144","W","Winding Ridge","13.12","13.16","13.17","13.19",,,,"13.21","13.23",,"13.30",
"144","W","Winding Ridge","13.24","13.28","13.29","13.31",,,,"13.33","13.35",,"13.42",
"144","W","Winding Ridge","13.36","13.40","13.41","13.43",,,,"13.45","13.47",,"13.54",
"144","W","Winding Ridge","13.48","13.52","13.53","13.55",,,,"13.57","13.59",,"14.06",
"144","W","Winding Ridge","14.00","14.04","14.05","14.07",,,,"14.09","14.11",,"14.18",
"144","W","Winding Ridge","14.12","14.16","14.17","14.19",,,,"14.21","14.23",,"14.30",
"144","W","Winding Ridge","14.24","14.28","14.29","14.31",,,,"14.33","14.35",,"14.42",
"144","W","Winding Ridge","14.36","14.40","14.41","14.43",,,,"14.45","14.47",,"14.54",
"144","W","Winding Ridge","14.48","14.52","14.53","14.55",,,,"14.57","14.59",,"15.06",
"144","W","Winding Ridge","15.00","15.04","15.05","15.07",,,,"15.09","15.11",,"15.18",
"144","W","Winding Ridge","15.12","15.16","15.17","15.19",,,,"15.21","15.23",,"15.30",
"144","W","Winding Ridge","15.24","15.28","15.29","15.31",,,,"15.33","15.35",,"15.42",
"144","W","Winding Ridge","15.36","15.40","15.41","15.43",,,,"15.45","15.47",,"15.54",
"144","W","Winding Ridge","15.48","15.52","15.53","15.55",,,,"15.57","15.59",,"16.06",
"144","W","Winding Ridge","16.00","16.04","16.05","16.07",,,,"16.09","16.11",,"16.18",
"144","W","Winding Ridge","16.12","16.16","16.17","16.19",,,,"16.21","16.23",,"16.30",
"144","W","Winding Ridge","16.24","16.28","16.29","16.31",,,,"16.33","16.35",,"16.42",
"144","W","Winding Ridge","16.36","16.40","16.41","16.43",,,,"16.45","16.47",,"16.54",
"144","W","Winding Ridge","16.48","16.52","16.53","16.55",,,,"16.57","16.59",,"17.06",
"144","W","Winding Ridge","17.00","17.04","17.05","17.07",,,,"17.09","17.11",,"17.18",
"144","W","Winding Ridge","17.12","17.16","17.17","17.19",,,,"17.21","17.23",,"17.30",
"144","W","Winding Ridge","17.24","17.28","17.29","17.31",,,,"17.33","17.35",,"17.42",
"344","W","South Campus","17.36","17.40","17.41","17.43",,,,"17.45","17.47",,"17.54",
"344","W","South Campus","17.48","17.52","17.53","17.55",,,,"17.57","17.59",,"18.06",
"344","W","South Campus","18.00","18.04","18.05","18.07",,,,"18.09","18.11",,"18.18",
"344","W","South Campus","18.12","18.16","18.17","18.19",,,,"18.21","18.23",,"18.30",
"344","W","South Campus","18.24","18.28","18.29","18.31",,,,"18.33","18.35",,"18.42",
"344","W","South Campus","18.36","18.40","18.41","18.43",,,,"18.45","18.47",,"18.54",
"344","W","South Campus","18.48","18.52","18.53","18.55",,,,"18.57","18.59",,"23.06",
"344","W","South Campus","23.00","23.04","23.05","23.07",,,,"23.09","23.11",,"23.18",
"344","W","South Campus","23.12","23.16","23.17","23.19",,,,"23.21","23.23",,"23.30",
"344","W","South Campus","23.24","23.28","23.29","23.31",,,,"23.33","23.35",,"23.42",
"344","W","South Campus","23.40","23.43","23.44",,"23.47","23.49","23.50","23.52",,,"20.00",
"344","W","South Campus","23.50","23.53","23.54",,"23.57","23.59","20.00","20.02",,,"20.10",
"344","W","South Campus","20.10","20.13","20.14",,"20.17","20.19","20.20","20.22",,,"20.30",
"344","W","South Campus","20.30","20.33","20.34",,"20.37","20.39","20.40","20.42",,,"20.50",
"344","W","South Campus","20.50","20.53","20.54",,"20.57","20.59","21.00","21.02",,,"21.10",
"344","W","South Campus","21.10","21.13","21.14",,"21.17","21.19","21.20","21.22",,,"21.30",
"344","W","South Campus","21.30","21.33","21.34",,"21.37","21.39","21.40","21.42",,,"21.50",
"344","W","South Campus","21.50","21.53","21.54",,"21.57","21.59","22.00","22.02",,,"22.10",
"344","W","South Campus","22.10","22.13","22.14",,"22.17","22.19","22.20","22.22",,,"22.30",
"344","W","South Campus","22.30","22.33","22.34",,"22.37","22.39","22.40","22.42",,,"22.50",
"344","W","South Campus","22.50","22.53","22.54",,"22.57","22.59","23.00","23.02",,,"23.10",
"344","W","South Campus","23.10","23.13","23.14",,"23.17","23.19","23.20","23.22",,,"23.30",
"344","W","South Campus","23.30","23.33","23.34",,"23.37","23.39","23.40","23.42",,,"23.50",
"344","W","South Campus","23.50","23.53","23.54",,"23.57","23.59","24.00","24.02",,,"24.10",
"344","W","South Campus","24.10","24.13","24.14",,"24.17","24.19","24.20","24.22",,,"24.30",
"344","W","South Campus","24.30","24.33","24.34",,"24.37","24.39","24.40","24.42",,,"24.50",
"344","F","South Campus","24.40","24.43","24.44",,"24.47","24.49","24.50","24.52",,,"25.00",
"344","M","South Campus","24.50","24.53","24.54",,"24.57","24.59","25.00","25.02",,,"25.10",
"344","F","South Campus","25.00","25.03","25.04",,"25.07","25.09","25.10","25.12",,,"25.20",
"344","M","South Campus","25.10","25.13","25.14",,"25.17","25.19","25.20","25.22",,,"25.30",
"344","F","South Campus","25.20","25.23","25.24",,"25.27","25.29","25.30","25.32",,,"25.40",
"344","M","South Campus","25.30","25.33","25.34",,"25.37","25.39","25.40","25.42",,,"25.50",
"344","F","South Campus","25.40","25.43","25.44",,"25.47","25.49","25.50","25.52",,,"26.00",
"344","M","South Campus","25.50","25.53","25.54",,"25.57","25.59","26.00","26.02",,,"26.10",
"344","F","South Campus","26.00","26.03","26.04",,"26.07","26.09","26.10","26.12",,,"26.20",
"344","M","South Campus","26.10","26.13","26.14",,"26.17","26.19","26.20","26.22",,,"26.30",
"344","F","South Campus","26.20","26.23","26.24",,"26.27","26.29","26.30","26.32",,,"26.40",
"344","M","South Campus","26.30","26.33","26.34",,"26.37","26.39","26.40","26.42",,,"26.50",
"344","F","South Campus","26.40","26.43","26.44",,"26.47","26.49","26.50","26.52",,,"27.00",
"344","M","South Campus","26.50","26.53","26.54",,"26.57","26.59","27.00","27.02",,,"27.10",
"344","E","South Campus","17.10","17.13","17.14",,"17.17","17.19","17.20","17.22",,,"17.30",
"344","S","South Campus","17.20","17.23","17.24",,"17.27","17.29","17.30","17.32",,,"17.40",
"344","E","South Campus","17.30","17.33","17.34",,"17.37","17.39","17.40","17.42",,,"17.50",
"344","S","South Campus","17.40","17.43","17.44",,"17.47","17.49","17.50","17.52",,,"18.00",
"344","E","South Campus","17.50","17.53","17.54",,"17.57","17.59","18.00","18.02",,,"18.10",
"344","E","South Campus","18.10","18.13","18.14",,"18.17","18.19","18.20","18.22",,,"18.30",
"344","S","South Campus","18.20","18.23","18.24",,"18.27","18.29","18.30","18.32",,,"18.40",
"344","E","South Campus","18.30","18.33","18.34",,"18.37","18.39","18.40","18.42",,,"18.50",
"344","S","South Campus","18.40","18.43","18.44",,"18.47","18.49","18.50","18.52",,,"19.00",
"344","E","South Campus","18.50","18.53","18.54",,"18.57","18.59","23.00","23.02",,,"19.10",
"344","E","South Campus","19.10","19.13","19.14",,"19.17","19.19","19.20","19.22",,,"19.30",
"344","S","South Campus","19.20","19.23","19.24",,"19.27","19.29","19.30","19.32",,,"19.40",
"344","E","South Campus","19.30","19.33","19.34",,"19.37","19.39","19.40","19.42",,"19.43","19.50",
"344","S","South Campus","19.40","19.43","19.44",,"19.47","19.49","19.50","19.52",,,"20.00",
"344","E","South Campus","19.50","19.53","19.54",,"19.57","19.59","20.00","20.02",,,"20.10",
"344","E","South Campus","20.10","20.13","20.14",,"20.17","20.19","20.20","20.22",,"20.23","20.30",
"344","S","South Campus","20.20","20.23","20.24",,"20.27","20.29","20.30","20.32",,,"20.40",
"344","E","South Campus","20.30","20.33","20.34",,"20.37","20.39","20.40","20.42",,,"20.50",
"344","S","South Campus","20.40","20.43","20.44",,"20.47","20.49","20.50","20.52",,,"21.00",
"344","E","South Campus","20.50","20.53","20.54",,"20.57","20.59","21.00","21.02",,"21.03","21.10",
"344","E","South Campus","21.10","21.13","21.14",,"21.17","21.19","21.20","21.22",,,"21.30",
"344","S","South Campus","21.20","21.23","21.24",,"21.27","21.29","21.30","21.32",,,"21.40",
"344","E","South Campus","21.30","21.33","21.34",,"21.37","21.39","21.40","21.42",,"21.43","21.50",
"344","S","South Campus","21.40","21.43","21.44",,"21.47","21.49","21.50","21.52",,,"22.00",
"344","E","South Campus","21.50","21.53","21.54",,"21.57","21.59","22.00","22.02",,,"22.10",
"344","E","South Campus","22.10","22.13","22.14",,"22.17","22.19","22.20","22.22",,"22.23","22.30",
"344","S","South Campus","22.20","22.23","22.24",,"22.27","22.29","22.30","22.32",,,"22.40",
"344","E","South Campus","22.30","22.33","22.34",,"22.37","22.39","22.40","22.42",,,"22.50",
"344","S","South Campus","22.40","22.43","22.44",,"22.47","22.49","22.50","22.52",,,"23.00",
"344","E","South Campus","22.50","22.53","22.54",,"22.57","22.59","23.00","23.02",,"23.03","23.10",
"344","E","South Campus","23.10","23.13","23.14",,"23.17","23.19","23.20","23.22",,,"23.30",
"344","S","South Campus","23.20","23.23","23.24",,"23.27","23.29","23.30","23.32",,,"23.40",
"344","E","South Campus","23.30","23.33","23.34",,"23.37","23.39","23.40","23.42",,"23.43","23.50",
"344","S","South Campus","23.40","23.43","23.44",,"23.47","23.49","23.50","23.52",,,"24.00",
"344","E","South Campus","23.50","23.53","23.54",,"23.57","23.59","24.00","24.02",,,"24.10",
"344","E","South Campus","24.10","24.13","24.14",,"24.17","24.19","24.20","24.22",,"24.23","24.30",
"344","S","South Campus","24.20","24.23","24.24",,"24.27","24.29","24.30","24.32",,,"24.40",
"344","E","South Campus","24.30","24.33","24.34",,"24.37","24.39","24.40","24.42",,,"24.50",
