"Direction","Inbound",,,,,,,,,,,,,,,
"Start Date","9/6/2011",,,,,,,,,,,,,,,
"End date","9/5/2012",,,,,,,,,,,,,,,
"Route","Days","Display Name","Jamesville & Thurber","Iroquois Nursing Home","Loretto","Nob Hill Apartments","Brighton Towers","Loretto","Thurber & Alden","Bird Library University Place","Upstate University Hosp. Stop is on Harrison St.","Civic Center State & Madison Sts","DOWNTOWN Fayette & Salina Sts","Regional Transportation Center","CAROUSEL CENTER","NOTE"
,,,"43.019031,-76.13091","42.995521,-76.120107","43.009982,-76.133228","43.000214,-76.128175","43.004545,-76.130792","43.009982,-76.133228","43.018619,-76.132921","43.039379,-76.132594","43.044303,-76.140502","43.045482,-76.147504","43.048682,-76.152233","43.076556,-76.169244","43.06975,-76.175875",
"240","W","SU - Nob Hill",,,,"5.42","5.45",,"5.50","5.57","6.07","6.11","6.17",,,
"240","W","SU - Nob Hill",,"6.13",,"6.16","6.19",,"6.24","6.33","6.43","6.47","6.53",,,
"240","W","SU - Nob Hill",,"6.45",,"6.48","6.51",,"6.56","7.05","7.15","7.19","7.25","7.30",7.38,
"240","W","SU - Nob Hill",,,,"7.15","7.18",,"7.23","7.30","7.40","7.44","7.50","7.57","8.05",
"240","W","SU - Nob Hill",,"7.35",,,"7.38","7.43","7.51","8.00","8.10","8.14","8.20",,,
"240","W","SU - Nob Hill",,,,"7.57","8.01",,"8.07","8.19","8.29","8.33","8.40","8.22","9.00",
"240","W","SU - Nob Hill",,"9.05",,"9.10","9.13",,"9.18","9.27","9.37","9.42","9.50","10.02","10.10",
"240","W","SU - Nob Hill",,"10.05",,"10.10","10.14","10.19","10.27","10.39","10.49","10.53","11.00","11.02","11.20",
"240","W","SU - Nob Hill",,"11.15",,"11.20","11.24","11.29","11.37","11.49","11.59","12.03","12.10","12.22","12.30",
"240","W","SU - Nob Hill",,"12.25",,"12.30","12.34","12.39","12.47","12.59","13.09","13.13","13.20","13.32","13.40",
"240","W","SU - Nob Hill",,"13.35",,"13.40","13.44","13.49","13.57","14.09","14.19","14.23","14.30","14.42","14.50",
"240","W","SU - Nob Hill",,"14.45",,"14.50","14.54","15.03","15.07","15.19","15.29","15.33","15.40","15.50","15.58",
"240","W","SU - Nob Hill",,,,"15.52","15.56",,"16.02","16.13","16.23","16.26","16.36","16.47","16.55",
"240","W","SU - Nob Hill",,,,"16.55","16.58",,"17.03","17.10","17.20","17.24","17.30","17.37","17.45",
"240","W","SU - Nob Hill",,,,"17.30","17.33",,"17.38","17.45","17.55","17.59","18.05","18.17","18.25",
"240","W","SU - Nob Hill",,,,"18.36","18.39",,"18.44","18.51","19.01","19.05","19.11",,"19.23",12
"240","W","SU - Nob Hill",,"20.55",,,"20.58",,"21.03","21.10","21.20","21.24","21.30",,21.43,12
"240","W","SU - Nob Hill",,,,"22.03",,,"22.08","22.15","22.22","22.26","22.30",,,"3"
"240","W","SU - Nob Hill",,"23.05",,,,"23.10","23.15",,,,"23.30",,,"1"
"140","E","SU - Thurber","6.57",,,,,,,"7.06","7.16","7.20","7.25",,,"6"
"240","E","SU - Nob Hill",,"7.05",,"7.08","7.11","7.13",,,,"7.21","7.25",,,2
"240","E","SU - Nob Hill",,,,"8.50","8.53",,"8.58","9.05","9.15","9.19","9.25",,,
"240","E","SU - Nob Hill",,,,"11.10","11.13",,"11.18","11.25","11.35","11.39","11.45","11.51","11.59",
"240","E","SU - Nob Hill",,"12.15",,"12.19","12.21","12.24","12.31","12.38","12.47","12.51","12.55","13.01","13.09",
"240","E","SU - Nob Hill",,,,"13.30","13.33",,"13.38","13.45","13.55","13.59","14.05","14.11","14.19",
"240","E","SU - Nob Hill",,"15.02",,,,"15.07",,,,"15.15","15.17","15.21","15.29",2
"240","E","SU - Nob Hill",,,,"15.48","15.40","15.53","15.39","16.06","16.15","16.19","16.25","16.31","16.39",
"240","E","SU - Nob Hill",,,16.53,"17.00","17.03",,"17.08","17.15","17.25","17.29","17.35","17.42","17.50",
"240","E","SU - Nob Hill",,,,"18.40","18.43",,"18.48","18.55","19.02","19.06","19.10",,,
"240","E","SU - Nob Hill",,,19.38,"19.43","19.46",,"19.51","19.58","20.05","20.09","20.13",,,
"240","E","SU - Nob Hill",,,20.45,"20.55","20.58",,"21.03","21.10","21.17","21.21","21.25",,,
"140","E","SU - Thurber","22.00",,,,,,,"22.09","22.19","22.23","22.28",,,"6"
"140","E","SU - Thurber","23.00",,,,,,,"23.09","23.19","23.23","23.28",,,"6"
