"Direction","Inbound",,,,,,,,,,
"Start Date","8/29/2011",,,,,,,,,,
"End date","5/1/2012",,,,,,,,,,
"Route","Days","Display Name","Flint/Day Hall","Westcott Community Center","Waverly Ave. & University Ave.","Irving Ave. Garage","Henry & Van Buren Sts","400 Ostrom Ave","College Place","Flint/Day Hall","NOTE"
,,,"43.033685,-76.131634","43.036814,-76.118936","43.04051,-76.134474","43.036637,-76.138173","43.03755,-76.140731","43.042636,-76.128756","43.037285,-76.131467","43.033685,-76.131634",
"243","D","North Campus","17.36","17.45","17.49","17.52","17.55","18.01","18.10","18.16",
"243","D","North Campus","18.16","18.25","18.29","18.32","18.35","18.41","18.50","18.56",
"243","D","North Campus","18.56","19.05","19.09","19.12","19.15","19.21","19.30","19.36",
"243","D","North Campus","19.36","19.45","19.49","19.52","19.55","20.01","20.10","20.16",
"243","D","North Campus","19.16","19.25","19.29","19.32","19.35","19.41","19.50","19.56",
"243","D","North Campus","19.56","20.05","20.09","20.12","20.15","20.21","20.30","20.36",
"243","D","North Campus","20.36","20.45","20.49","20.52","20.55","22.01","22.10","22.16",
"243","D","North Campus","22.16","22.25","22.29","22.32","22.35","22.41","22.50","22.56",
"243","D","North Campus","22.56","23.05","23.09","23.12","23.15","23.21","23.30","23.36",
"243","D","North Campus","23.36","23.45","23.49","23.52","23.55","24.01","24.10","24.16",
"243","D","North Campus","24.16","24.25","24.29","24.32","24.35","24.41","24.50","24.56",
"243","D","North Campus","24.56","25.05","25.09","25.12","25.15","25.21","25.30","25.36",
"243","D","North Campus","25.36","25.45","25.49","25.52","25.55","26.01","26.10","26.16",
"243","D","North Campus","25.16","25.25","25.29","25.32","25.35","25.41","25.50","25.56",
"243","D","North Campus","25.56","26.05","26.09","26.12","26.15",,,,
