"Direction","Inbound",,,,,,,,,,,,,
"Start Date","8/29/2011",,,,,,,,,,,,,
"End date","5/1/2012",,,,,,,,,,,,,
"Route","Days","Display Name","Skytop Offices","Goldstein Student Center","Sky Hall","Winding Ridge","Sky Hall","Slocum Dr. & Lambreth Lane","Small Rd. & Lambreth","Chinook & Farm Acre","Manley South","Manley North","College Place","NOTE"
,,,"43.010848,-76.115862","43.016084,-76.11973","43.017134,-76.116913","43.015119,-76.120723","43.017134,-76.116913","43.018387,-76.116305","43.021516,-76.118861","43.018928,-76.122847","43.022697,-76.126007","43.026292,-76.128887","43.037288,-76.131468",
"244","W","Slocum Heights",,"07.13",,,,"07.17","07.20",,"07.23","07.24","07.31",
"244","W","Slocum Heights",,"07.27",,,,"07.31","07.34",,"07.37","07.38","07.45",
"244","W","Slocum Heights",,"07.37",,,,"07.41","07.44",,"07.47","07.48","07.55",
"244","W","Slocum Heights",,"07.46",,,,"07.50","07.53",,"07.56","07.57","08.04",
"244","W","Slocum Heights",,"07.52",,,,"07.56","07.59",,"08.02","08.03","08.10",
"244","W","Slocum Heights",,"08.00",,,,"08.04","08.07",,"08.10","08.11","08.18",
"244","W","Slocum Heights",,"08.02",,,,"08.06","08.09",,"08.12","08.13","08.20",
"244","W","Slocum Heights",,"08.19",,,,"08.23","08.26",,"08.29","08.30","08.37",
"244","W","Slocum Heights",,"08.25",,,,"08.29","08.32",,"08.35","08.36","08.43",
"244","W","Slocum Heights",,"08.32",,,,"08.36","08.39",,"08.42","08.43","08.50",
"244","W","Slocum Heights",,"08.33",,,,"08.37","08.40",,"08.43","08.44","08.51",
"244","W","Slocum Heights",,"08.50",,,,"08.54","08.57",,"09.00","09.01","09.08",
"244","W","Slocum Heights",,"08.52",,,,"08.56","08.59",,"09.02","09.03","09.10",
"244","W","Slocum Heights",,"08.57",,,,"09.01","09.04",,"09.07","09.08","09.15",
"244","W","Slocum Heights",,"09.00",,,,"09.04","09.07",,"09.10","09.11","09.18",
"244","W","Slocum Heights",,"09.02",,,,"09.06","09.09",,"09.12","09.13","09.20",
"244","W","Slocum Heights",,"09.06",,,,"09.10","09.13",,"09.16","09.17","09.24",
"244","W","Slocum Heights",,"09.24",,,,"09.28","09.31",,"09.34","09.35","09.42",
"244","W","Slocum Heights",,"09.36",,,,"09.40","09.43",,"09.46","09.47","09.54",
"244","W","Slocum Heights",,"09.48",,,,"09.52","09.55",,"09.58","09.59","10.06",
"244","W","Slocum Heights",,"10.00",,,,"10.04","10.07",,"10.10","10.11","10.18",
"244","W","Slocum Heights",,"10.12",,,,"10.16","10.19",,"10.22","10.23","10.30",
"244","W","Slocum Heights",,"10.24",,,,"10.28","10.31",,"10.34","10.35","10.42",
"244","W","Slocum Heights",,"10.36",,,,"10.40","10.43",,"10.46","10.47","10.54",
"244","W","Slocum Heights",,"10.48",,,,"10.52","10.55",,"10.58","10.59","11.06",
"244","W","Slocum Heights",,"11.00",,,,"11.04","11.07",,"11.10","11.11","11.18",
"244","W","Slocum Heights",,"11.12",,,,"11.16","11.19",,"11.22","11.23","11.30",
"244","W","Slocum Heights",,"11.24",,,,"11.28","11.31",,"11.34","11.35","11.42",
"244","W","Slocum Heights",,"11.36",,,,"11.40","11.43",,"11.46","11.47","11.54",
"244","W","Slocum Heights",,"11.48",,,,"11.52","11.55",,"11.58","11.59","12.06",
"244","W","Slocum Heights",,"12.00",,,,"12.04","12.07",,"12.10","12.11","12.18",
"244","W","Slocum Heights",,"12.12",,,,"12.16","12.19",,"12.22","12.23","12.30",
"244","W","Slocum Heights",,"12.24",,,,"12.28","12.31",,"12.34","12.35","12.42",
"244","W","Slocum Heights",,"12.36",,,,"12.40","12.43",,"12.46","12.47","12.54",
"244","W","Slocum Heights",,"12.48",,,,"12.52","12.55",,"12.58","12.59","13.06",
"244","W","Slocum Heights",,"13.00",,,,"13.04","13.07",,"13.10","13.11","13.18",
"244","W","Slocum Heights",,"13.12",,,,"13.16","13.19",,"13.22","13.23","13.30",
"244","W","Slocum Heights",,"13.24",,,,"13.28","13.31",,"13.34","13.35","13.42",
"244","W","Slocum Heights",,"13.36",,,,"13.40","13.43",,"13.46","13.47","13.54",
"244","W","Slocum Heights",,"13.48",,,,"13.52","13.55",,"13.58","13.59","14.06",
"244","W","Slocum Heights",,"14.00",,,,"14.04","14.07",,"14.10","14.11","14.18",
"244","W","Slocum Heights",,"14.12",,,,"14.16","14.19",,"14.22","14.23","14.30",
"244","W","Slocum Heights",,"14.24",,,,"14.28","14.31",,"14.34","14.35","14.42",
"244","W","Slocum Heights",,"14.36",,,,"14.40","14.43",,"14.46","14.47","14.54",
"244","W","Slocum Heights",,"14.48",,,,"14.52","14.55",,"14.58","14.59","15.06",
"244","W","Slocum Heights",,"15.00",,,,"15.04","15.07",,"15.10","15.11","15.18",
"244","W","Slocum Heights",,"15.12",,,,"15.16","15.19",,"15.22","15.23","15.30",
"244","W","Slocum Heights",,"15.24",,,,"15.28","15.31",,"15.34","15.35","15.42",
"244","W","Slocum Heights",,"15.36",,,,"15.40","15.43",,"15.46","15.47","15.54",
"244","W","Slocum Heights",,"15.48",,,,"15.52","15.55",,"15.58","15.59","16.06",
"244","W","Slocum Heights",,"16.00",,,,"16.04","16.07",,"16.10","16.11","16.18",
"244","W","Slocum Heights",,"16.12",,,,"16.16","16.19",,"16.22","16.23","16.30",
"244","W","Slocum Heights",,"16.24",,,,"16.28","16.31",,"16.34","16.35","16.42",
"244","W","Slocum Heights",,"16.36",,,,"16.40","16.43",,"16.46","16.47","16.54",
"244","W","Slocum Heights",,"16.48",,,,"16.52","16.55",,"16.58","16.59","17.06",
"244","W","Slocum Heights",,"17.00",,,,"17.04","17.07",,"17.10","17.11","17.18",
"244","W","Slocum Heights",,"17.12",,,,"17.16","17.19",,"17.22","17.23","17.30",
"244","W","Slocum Heights",,"17.24",,,,"17.28","17.31",,"17.34","17.35","17.42",
"244","W","Slocum Heights",,"17.36",,,,"17.40","17.43",,"17.46","17.47","17.54",
"244","W","Slocum Heights",,"17.48",,,,"17.52","17.55",,"17.58","17.59","18.06",
"244","W","Slocum Heights",,"18.00",,,,"18.04","18.07",,"18.10","18.11","18.18",
"244","W","Slocum Heights",,"18.12",,,,"18.16","18.19",,"18.22","18.23","18.30",
"244","W","Slocum Heights",,"18.24",,,,"18.28","18.31",,"18.34","18.35","18.42",
"244","W","Slocum Heights",,"18.36",,,,"18.40","18.43",,"18.46","18.47","18.54",
"244","W","Slocum Heights",,"18.48",,,,"18.52","18.55",,"18.58","18.59","19.06",
"244","W","Slocum Heights",,"19.00",,,,"19.04","19.07",,"19.10","19.11","19.18",
"244","W","Slocum Heights",,"19.12",,,,"19.16","19.19",,"19.22","19.23","19.30",
"244","W","Slocum Heights",,"19.24",,,,"19.28","19.31",,"19.34","19.35","19.42",
"244","W","Slocum Heights",,"19.36",,,,"19.40","19.43",,"19.46","19.47","19.54",
"244","W","Slocum Heights",,"19.48",,,,"19.52","19.55",,"19.58","19.59","20.06",
