"Direction","Inbound",,,,,,,,,,,,,,,
"Start Date","05/06/2011",,,,,,,,,,,,,,,
"End date","09/06/2012",,,,,,,,,,,,,,,
"Route","Days","Display Name","Rt 481","Wegmans Plaza Park-n-Ride","Nottingham H.S.","Shoppingtown Mall","East Genesee St. & Jamesville Rd.","Menorah Park","Genesee St. & Wescott St.","Westcott St. & Euclid Ave.","Bird Library University Place","Archibold Theater Irving Ave.","Downtown Fayette & Salina Sts.","Fairmont Fair","Camilius Commons","NOTE"
,,,"43.010874,-76.074604","43.030619,-76.051038","43.042499,-76.096925","43.042905,-76.064111","43.035234,-76.067665","43.038365,-76.078724","43.045537,-76.119676","43.036818,-76.118941","43.039392,-76.133207","43.046492,-76.137756","43.04869,-76.152224","43.047035,-76.238798","43.038943,-76.309099",
"330","W","Westcott/Downtown",,"5.32",,,"5.35",,"5.44","5.48","5.54","6.01","6.10",,,
"330","W","Westcott/Downtown",,"6.37",,,"6.40",,"6.49","6.53","6.59","7.06","7.15",,,
"330","W","Westcott/Downtown",,"7.12",,,"7.15",,"7.22","7.26","7.32","7.39","7.45",,,
"130","W","Westcott/Camilus",,,"7.55",,,,"8.03","8.07","8.13","8.18","8.25",,,
"330","W","Westcott/Camilus",,"8.02",,,"8.05",,"8.14","8.18","8.24","8.31","8.40",,,
"530","W","Westcott/Downtown",,,,"9.07","9.11",,"9.21","9.25","9.31","9.38","9.47",,,
"530","W","Westcott/Camilus",,,,"9.45","9.49",,"9.59","10.03","10.09","10.16","10.25","10.47","11.00","1"
"530","W","Westcott/Camilus",,,,"10.52","10.56",,"11.09","11.13","11.19","11.26","11.35","11.57","12.10","1"
"530","W","Westcott/Camilus",,,,"12.02","12.06",,"12.19","12.23","12.29","12.36","12.45","13.07","13.20",
"530","W","Westcott/Camilus",,,,"13.15","13.19",,"13.29","13.33","13.39","13.46","13.55","14.17","14.30","1"
"130","W","Westcott/Camilus",,,"14.00",,,,"14.08","14.12","14.18","14.23","14.30",,,"4"
"530","W","Westcott/Camilus",,,,"14.25","14.29",,"14.39","14.43","14.49","14.56","15.05","15.27","15.40",
"530","W","Westcott/Camilus",,,,"15.30","15.34",,"15.44","15.48","15.54","16.01","16.10","16.25","16.35",
"30","W","Downtown/Camilus",,,,,,,,,"16.09","16.16","16.25","16.40","16.50",
"30","W","Downtown/Camilus",,,,,,,,,"16.39","16.46","16.55","17.12","17.25",
"530","W","Westcott/Camilus",,,,"16.40","16.44",,"16.54","16.58","17.04","17.11","17.20","17.40","17.50",
"530","W","Westcott/Camilus",,,,"17.00","17.04",,"17.16","17.21","17.27","17.34","17.45","18.00","18.10",
"230","W","Westcott/Downtown",,,,,,"23.03","23.08","23.12","23.18","23.23","23.30",,,"1"
