"Direction","Outbound",,,,,,,,,,,,,,,
"Start Date","05/06/2011",,,,,,,,,,,,,,,
"End date","09/05/2012",,,,,,,,,,,,,,,
"Route","Days","Display Name","Camilius Commons","Fairmont Fair","Downtown Fayette & Salina Sts.","Archibold Theater Irving Ave.","College Place","Westcott St. & Euclid Ave.","Genesee St. & Wescott St.","Menorah Park","East Genesee St. & Jamesville Rd.","Wegmans Plaza Park-n-Ride","Shoppingtown Mall","Nottingham H.S.","Rt 481","NOTE"
,,,"43.038943,-76.309099","43.047035,-76.238798","43.04869,-76.152224","43.046492,-76.137756","43.037275,-76.131456","43.036818,-76.118941","43.045537,-76.119676","43.038365,-76.078724","43.035234,-76.067665","43.030619,-76.051038","43.042905,-76.064111","43.042499,-76.096925","43.010874,-76.074604",
"330","W","Westcott/Wegmanns","5.47","5.52","6.10","6.15","6.24","6.28","6.31",,"6.35","6.37",,,,
"330","W","Westcott/Wegmanns","6.22","6.27","6.45","6.50","6.59","7.03","7.06",,"7.10","7.12",,,,
"130","W","Westcott/Nottingham","7.00","7.08","7.30","7.35","7.44","7.48","7.51",,,,,"7.55",,
"530","W","Westcott/Shoppingtown","7.35","7.43","8.05","8.10","8.19","8.23","8.26",,"8.32",,"8.40",,,
"530","W","Westcott/Shoppingtown",,,"9.20","9.25","9.34","9.38","9.41",,"9.52",,"10.00",,,"1"
"530","W","Westcott/Shoppingtown","9.53","10.01","10.30","10.35","10.44","10.48","10.51",,"10.57",,"11.05",,,
"530","W","Westcott/Shoppingtown","11.00","11.09","11.40","11.45","11.54","11.58","12.01",,"12.07",,"12.15",,,
"530","W","Westcott/Shoppingtown","12.10","12.19","12.50","12.55","13.04","13.08","13.11",,"13.22",,"13.30",,,"1"
"530","W","Westcott/Shoppingtown","13.20","13.29","14.00","14.05","14.14","14.18","14.21",,"14.27",,"14.35",,,"1"
"530","W","Westcott/Shoppingtown","14.30","14.39","15.10","15.15","15.24","15.28","15.31",,"15.37",,"15.45",,,
"530","W","Westcott/Shoppingtown","15.40","15.49","16.15","16.20","16.29","16.33","16.36",,"16.42","15.45","16.55",,,"3"
"530","W","Westcott/Shoppingtown",,,"16.40","16.45","16.54","16.58","17.01",,"17.07","17.10","17.20",,,"3"
"530","W","Westcott/Shoppingtown","16.38","16.46","17.12","17.17","17.26","17.30","17.33",,"17.39","17.42","17.52",,,"3"
"530","W","Westcott/Shoppingtown","17.13","17.21","17.45","17.50","17.59","18.03","18.06",,"18.12",,"18.20",,,
"230","W","Westcott/Menorah Park","22.03","22.10","22.35","22.40","22.48","22.52","22.55","23.03",,,,,,"1"
