"Direction","Inbound",,,,,,,,,,
"Start Date","5/6/2011",,,,,,,,,,
"End date","9/5/2012",,,,,,,,,,
"Route","Days","Display Name","Drumlins","Meadowbrook & Lancaster","Bird Library","Upstate University Hospital","Civic Center","Downtown Fayette & Salina Strs","Regional Transportation Center","CAROUSEL CENTER","NOTE"
,,,"43.020828,-76.105612","43.024771,-76.121804","43.039376,-76.132573","43.044246,-76.139172","43.045485,-76.147508","43.048680,-76.152230","43.076619,-76.169514","43.06950017990036,-76.17421667275796",
"340","W","Drumlins Downtown","5.43","5.50","5.56","6.04","6.08","6.13",,,
"340","W","Drumlins Downtown","6.10","6.17","6.23","6.31","6.35","6.40",,,
"340","W","Drumlins Downtown","6.25","6.32","6.38","6.46","6.50","6.55",,,
"340","W","Drumlins Downtown","7.05","7.12","7.18","7.26","7.30","7.35",,,
"340","W","Drumlins Downtown","7.35","7.43","7.50","8.00","8.05","8.10",8.17,8.21,"3"
"340","W","Drumlins Downtown","8.40","8.48","8.55","9.05","9.10","9.15","9.31","9.35","1"
"340","W","Drumlins Downtown","9.15","9.22","9.28","9.36","9.40","9.45",,,
"340","W","Drumlins Downtown","9.55","10.02","10.08","10.16","10.20","10.25","10.37","10.41",
"340","W","Drumlins Downtown","10.25","10.33","10.41",,,,,,"2"
"340","W","Drumlins Downtown","11.05","11.12","11.18","11.26","11.30","11.35"," "," ",
"340","W","Drumlins Downtown","11.35","11.43","11.51",,,,,,"2"
"340","W","Drumlins Downtown","12.15","12.22","12.28","12.36","12.40","12.45"," "," ",
"340","W","Drumlins Downtown","12.45","12.53","13.01",,,,,,"2"
"340","W","Drumlins Downtown","13.25","13.32","13.38","13.46","13.50","13.55","14.10","14.15",
"340","W","Drumlins Downtown","13.55","14.03","14.11",,,,,,"2"
"340","W","Drumlins Downtown","14.35","14.42","14.48","14.56","15.00","15.05","15.17","15.22","1"
"340","W","Drumlins Downtown","15.10","15.17","15.23","15.31","15.35","15.40",15.5,15.55,
"340","W","Drumlins Downtown","16.15","16.23","16.30","16.40","15.45","16.50",,,
"340","W","Drumlins Downtown","16.40","16.47","16.53","17.01","17.05","17.10",,,
"340","W","Drumlins Downtown","17.10","17.17","17.23","17.31","17.35","17.40",,,
"340","W","Drumlins Downtown","17.37","17.44","17.50","17.58","18.02","18.07",,,
"340","W","Drumlins Downtown","18.10","18.17","18.23","18.31","18.35","18.40","18.55","19.00",
"340","W","Drumlins Downtown","19.45","19.52","19.58","20.06","20.10","20.15",8.27,"8.31",
"340","W","Drumlins Downtown","23.00","23.07","23.13","23.21","23.25","23.30",,,
"340","U","Drumlins Downtown","7.58","8.06","8.11","8.19","8.23","8.28",,,
"340","U","Drumlins Downtown","10.00","10.08","10.13","10.23","10.27","10.35",,,
"340","U","Drumlins Downtown","12.20","12.28","12.33","12.43","12.47","12.55",,,
"340","U","Drumlins Downtown","14.40","14.48","14.53","15.03","15.07","15.15",,,
"340","U","Drumlins Downtown","17.00","17.08","17.13","17.23","17.27","17.35",,,
"340","U","Drumlins Downtown","18.40","18.48","18.53","19.01","19.05","19.10",,,
