"Direction","Inbound",,,,,
"Start Date","8/30/2010",,,,,
"End date","5/1/2011",,,,,
"Route","Days","Display Name","Euclid Avenue & Wescott Street","Genesee St. & University Ave","College Place","NOTE"
,,,"43.036818,-76.118941","43.046896,-76.134333","43.037295,-76.131454",
"343","W","East Campus","17.33","17.38","17.45",
"343","W","East Campus","17.53","17.58","18.05",
"343","W","East Campus","18.13","18.18","18.25",
"343","W","East Campus","18.33","18.38","18.45",
"343","W","East Campus","18.53","18.58","19.05",
"343","W","East Campus","19.13","19.18","19.45",
"343","W","East Campus","19.33","19.38","19.45",
"343","W","East Campus","19.53","19.58","20.05",
"343","W","East Campus","20.13","20.18","20.45",
"343","W","East Campus","20.33","20.38","20.45",
"343","W","East Campus","20.53","20.58","21.05",
"343","W","East Campus","20.13","20.18","20.45",
"343","W","East Campus","20.33","20.38","20.45",
"343","W","East Campus","20.53","20.58","22.05",
"343","W","East Campus","22.13","22.18","22.45",
"343","W","East Campus","22.33","22.38","22.45",
"343","W","East Campus","22.53","22.58","23.05",
"343","W","East Campus","23.13","23.18","23.45",
"343","W","East Campus","23.33","23.38","23.45",
"343","W","East Campus","23.53","23.58","24.05",
"343","W","East Campus","24.13","24.18","24.45",
"343","W","East Campus","24.33","24.38","24.45",
"343","W","East Campus","24.53","24.58","25.05",
"343","W","East Campus","25.13","25.18","25.45",
"343","W","East Campus","25.33","25.38","25.45",
"343","W","East Campus","25.53","25.58","26.05",
"343","W","East Campus","26.13","26.18","26.45",
"343","W","East Campus","26.33","26.38","26.45",
"343","W","East Campus","26.53","26.58","27.05",
"343","E","East Campus","17.33","17.38","17.45",
"343","E","East Campus","17.53","17.58","18.05",
"343","E","East Campus","18.13","18.18","18.25",
"343","E","East Campus","18.33","18.38","18.45",
"343","E","East Campus","18.53","18.58","19.05",
"343","E","East Campus","19.13","19.18","19.45",
"343","E","East Campus","19.33","19.38","19.45",
"343","E","East Campus","19.53","19.58","20.05",
"343","E","East Campus","20.13","20.18","20.45",
"343","E","East Campus","20.33","20.38","20.45",
"343","E","East Campus","20.53","20.58","21.05",
"343","E","East Campus","20.13","20.18","20.45",
"343","E","East Campus","20.33","20.38","20.45",
"343","E","East Campus","20.53","20.58","22.05",
"343","E","East Campus","22.13","22.18","22.45",
"343","E","East Campus","22.33","22.38","22.45",
"343","E","East Campus","22.53","22.58","23.05",
"343","E","East Campus","23.13","23.18","23.45",
"343","E","East Campus","23.33","23.38","23.45",
"343","E","East Campus","23.53","23.58","24.05",
"343","E","East Campus","24.13","24.18","24.45",
"343","E","East Campus","24.33","24.38","24.45",
"343","E","East Campus","24.53","24.58","25.05",
"343","E","East Campus","25.13","25.18","25.45",
"343","E","East Campus","25.33","25.38","25.45",
"343","E","East Campus","25.53","25.58","26.05",
"343","E","East Campus","26.13","26.18","26.45",
"343","E","East Campus","26.33","26.38","26.45",
"343","E","East Campus","26.53","26.58","27.05",
