"Direction","Outbound",,,,,,
"Start Date","8/29/2011",,,,,,
"End date","5/1/2012",,,,,,
"Route","Days","Display Name","College Place","Euclid Avenue & Wescott Street","Genesee St. & Westcott Sts.","Genesee St. & University Ave","NOTE"
,,,"43.037295,-76.131454","43.036818,-76.118941","43.04553,-76.119687","43.046896,-76.134333",
"343","W","East Campus","17.30","17.33","17.35","17.38",
"343","W","East Campus","17.50","17.53","17.55","17.58",
"343","W","East Campus","18.10","18.13","18.15","18.18",
"343","W","East Campus","18.30","18.33","18.35","18.38",
"343","W","East Campus","18.50","18.53","18.55","18.58",
"343","W","East Campus","19.10","19.13","19.15","19.18",
"343","W","East Campus","19.30","19.33","19.35","19.38",
"343","W","East Campus","19.50","19.53","19.55","19.58",
"343","W","East Campus","20.10","20.13","20.15","20.18",
"343","W","East Campus","20.30","20.33","20.35","20.38",
"343","W","East Campus","20.50","20.53","20.55","20.58",
"343","W","East Campus","21.10","21.13","21.15","21.18",
"343","W","East Campus","21.30","21.33","21.35","21.38",
"343","W","East Campus","21.50","21.53","21.55","21.58",
"343","W","East Campus","22.10","22.13","22.15","22.18",
"343","W","East Campus","22.30","22.33","22.35","22.38",
"343","W","East Campus","22.50","22.53","22.55","22.58",
"343","W","East Campus","23.10","23.13","23.15","23.18",
"343","W","East Campus","23.30","23.33","23.35","23.38",
"343","W","East Campus","23.50","23.53","23.55","23.58",
"343","W","East Campus","24.10","24.13","24.15","24.18",
"343","W","East Campus","24.30","24.33","24.35","24.38",
"343","W","East Campus","24.50","24.53","24.55","24.58",
"343","W","East Campus","25.10","25.13","25.15","25.18",
"343","W","East Campus","25.30","25.33","25.35","25.38",
"343","W","East Campus","25.50","25.53","25.55","25.58",
"343","W","East Campus","26.10","26.13","26.15","26.18",
"343","W","East Campus","26.30","26.33","26.35","26.38",
"343","W","East Campus","26.50","26.53","26.55","26.58",
"343","E","East Campus","17.30","17.33","17.35","17.38",
"343","E","East Campus","17.50","17.53","17.55","17.58",
"343","E","East Campus","18.10","18.13","18.15","18.18",
"343","E","East Campus","18.30","18.33","18.35","18.38",
"343","E","East Campus","18.50","18.53","18.55","18.58",
"343","E","East Campus","19.10","19.13","19.15","19.18",
"343","E","East Campus","19.30","19.33","19.35","19.38",
"343","E","East Campus","19.50","19.53","19.55","19.58",
"343","E","East Campus","20.10","20.13","20.15","20.18",
"343","E","East Campus","20.30","20.33","20.35","20.38",
"343","E","East Campus","20.50","20.53","20.55","20.58",
"343","E","East Campus","21.10","21.13","21.15","21.18",
"343","E","East Campus","21.30","21.33","21.35","21.38",
"343","E","East Campus","21.50","21.53","21.55","21.58",
"343","E","East Campus","22.10","22.13","22.15","22.18",
"343","E","East Campus","22.30","22.33","22.35","22.38",
"343","E","East Campus","22.50","22.53","22.55","22.58",
"343","E","East Campus","23.10","23.13","23.15","23.18",
"343","E","East Campus","23.30","23.33","23.35","23.38",
"343","E","East Campus","23.50","23.53","23.55","23.58",
"343","E","East Campus","24.10","24.13","24.15","24.18",
"343","E","East Campus","24.30","24.33","24.35","24.38",
"343","E","East Campus","24.50","24.53","24.55","24.58",
"343","E","East Campus","25.10","25.13","25.15","25.18",
"343","E","East Campus","25.30","25.33","25.35","25.38",
"343","E","East Campus","25.50","25.53","25.55","25.58",
"343","E","East Campus","26.10","26.13","26.15","26.18",
"343","E","East Campus","26.30","26.33","26.35","26.38",
"343","E","East Campus","26.50","26.53","26.55","26.58",
