"Direction","Inbound",,,,,,,
"Start Date","5/6/2011",,,,,,,
"End date","9/5/2012",,,,,,,
"Route","Days","Display Name","Bird Library University Place","Upstate University Hosp. Stop is on Harrison St.","DOWNTOWN Fayette & Salina Sts","Regional Transportation Center","CAROSEL CENTER","NOTE"
,,,"43.039379,-76.132594","43.044303,-76.140502","43.048682,-76.152233","43.076556,-76.169244","43.06975,-76.175875",
40,"W","Downtown",14.06,14.14,14.34,,,
40,"W","Downtown",15.33,15.41,15.55,,,
40,"W","Downtown",,16.04,16.15,,,
40,"W","Downtown",,16.03,16.15,,,
40,"W","Downtown",,16.06,16.15,,,
40,"W","Downtown",16.04,16.09,16.20,,,
40,"W","Downtown",,16.29,16.40,,,
40,"W","Downtown",,16.34,16.45,,,
40,"W","Downtown",,16.38,16.50,,,
40,"W","Downtown",16.55,17.01,17.15,,,
40,"W","Downtown",17.02,17.09,17.20,,,
40,"W","Downtown",17.05,17.11,17.25,,,
40,"W","Downtown",17.09,17.14,17.25,,,
40,"W","Downtown",17.50,17.58,18.10,,,
40,"S","Downtown",9.13,9.20,9.28,,,
