"Direction","Inbound",,,,,,,,,,,
"Start Date","08/29/2011",,,,,,,,,,,
"End date","08/19/2012",,,,,,,,,,,
"Route","Days","Display Name","Goldstein Student Center","Manley South","College Place","SUNY-ESF (Irving & Raynor)","Syracuse Stage","Center of Excellence","Everson Museum & Civic Center","The Warehouse","Learning Center","NOTE"
,,,"43.01608,-76.119722","43.022861,-76.126404","43.037295,-76.131454","43.03588,-76.138114","43.046537,-76.137755","43.049453,-76.141081","43.0459,-76.147508","43.049538,-76.158108","43.043415,-76.159385",
"443","W","Warehouse","7.25","7.27","7.35","7.37","7.42","7.44",,"7.50",,
"443","W","Warehouse","7.55","7.57","8.05","8.07","8.12","8.14",,"8.20",,
"443","W","Warehouse","8.20","8.22","8.30","8.32","8.37","8.39",,"8.45",,
"443","W","Warehouse","8.55","8.57","9.05","9.07","9.12","9.14",,"9.20",,
"443","W","Warehouse","9.00","9.02","9.10","9.12","9.17","9.19",,"9.25",,
"443","W","Warehouse","9.20","9.22","9.30","9.32","9.37","9.39",,"9.45",,
"443","W","Warehouse","9.50","9.52","10.00","10.02","10.07","10.09",,"10.15",,
"443","W","Warehouse","9.55","9.57","10.05","10.07","10.12","10.14",,"10.20",,
"443","W","Warehouse","10.20","10.22","10.30","10.32","10.37","10.39",,"10.45",,
"443","W","Warehouse","10.50","10.52","11.00","11.02","11.07","11.09",,"11.15",,
"443","W","Warehouse","11.00","11.02","11.10","11.12","11.17","11.19",,"11.25",,
"443","W","Warehouse","11.25","11.27","11.35","11.37","11.42","11.44",,"11.50",,
"443","W","Warehouse","11.50","11.52","12.00","12.02","12.07","12.09",,"12.15",,
"443","W","Warehouse","12.05","12.07","12.15","12.17","12.22","12.24",,"12.30",,
"443","W","Warehouse","12.30","12.32","12.40","12.42","12.47","12.49",,"12.55",,
"443","W","Warehouse","12.50","12.52","13.00","13.02","13.07","13.09",,"13.15",,
"443","W","Warehouse","13.10","13.12","13.20","13.22","13.28","13.29",,"13.35",,
"443","W","Warehouse","13.30","13.32","13.40","13.42","13.47","13.49",,"13.55",,
"443","W","Warehouse","13.50","13.52","14.00","14.02","14.07","14.09",,"14.15",,
"443","W","Warehouse","14.10","14.12","14.20","14.22","14.27","14.29",,"14.35",,
"443","W","Warehouse","14.30","14.32","14.40","14.42","14.47","14.49",,"14.55",,
"443","W","Warehouse","14.50","14.52","15.00","15.02","15.07","15.09",,"15.15",,
"443","W","Warehouse","15.10","15.12","15.20","15.22","15.27","15.29",,"15.35",,
"443","W","Warehouse","15.30","15.32","15.40","15.42","15.47","15.49",,"15.55",,
"443","W","Warehouse","15.50","15.52","16.00","16.02","16.07","16.09",,"16.15",,
"443","W","Warehouse","16.10","16.12","16.20","16.22","16.27","16.29",,"16.35",,
"443","W","Warehouse","16.30","16.32","16.40","16.42","16.47","16.49",,"16.55",,
"443","W","Warehouse","16.50","16.52","17.00","17.02","17.07","17.09",,"17.15",,
"543","W","Near Westside","17.13","17.15","17.23","17.25","17.30","17.32","17.35","17.40","17.45",
"543","W","Near Westside","17.48","17.50","17.58","18.00","18.05","18.07","18.10","18.15","18.20",
"543","W","Near Westside","18.23","18.25","18.33","18.35","18.40","18.42","18.45","18.50","18.55",
"543","W","Near Westside","18.58","19.00","19.07","19.10","19.15","19.17","19.20","19.25","19.30",
"543","W","Near Westside","19.33","19.35","19.43","19.45","19.50","19.52","19.55","20.00","20.05",
"543","W","Near Westside","20.08","20.10","20.18","20.20","20.25","20.27","20.30","20.35","20.40",
"543","W","Near Westside","20.43","20.45","20.53","20.55","21.00","21.02","21.05","21.10","21.15",
"543","W","Near Westside","21.18","21.20","21.28","21.30","21.35","21.37","21.40","21.45","21.50",
"543","W","Near Westside","21.53","21.55","22.03","22.05","22.10","22.12","22.15","22.20","22.25",
"543","W","Near Westside","22.28","22.30","22.38","22.40","22.45","22.47","22.50","22.55","23.00",
"443","W","Warehouse","23.02","23.04","23.12","23.14","23.19","23.21",,"23.30","23.35",
"443","W","Warehouse","23.57","23.59","24.07","24.09","24.14","24.16",,"24.25","24.35",
"443","W","Warehouse","24.57","24.59","25.07","25.09","25.14","25.16",,"25.25","25.35",
"443","W","Warehouse","25.57","25.59","26.07","26.09","26.14","26.16",,"26.25","26.35",
"443","E","Warehouse","8.00","8.02","8.10",,"8.17","8.19",,"8.30",,
"543","E","Near Westside","9.00","9.02","9.10","9.12","9.17","9.19","9.22","9.27","9.31",
"543","E","Near Westside","10.00","10.02","10.10","10.12","10.17","10.19","10.22","10.27","10.31",
"543","E","Near Westside","11.00","11.02","11.10","11.12","11.17","11.19","11.22","11.27","11.31",
"543","E","Near Westside","12.00","12.02","12.10","12.12","12.17","12.19","12.22","12.27","12.31",
"543","E","Near Westside","13.00","13.02","13.10","13.12","13.17","13.19","13.22","13.27","13.31",
"543","E","Near Westside","14.00","14.02","14.10","14.12","14.17","14.19","14.22","14.27","14.31",
"543","E","Near Westside","15.00","15.02","15.10","15.12","15.17","15.19","15.22","15.27","15.31",
"543","E","Near Westside","16.00","16.02","16.10","16.12","16.17","16.19","16.22","16.27","16.31",
"543","E","Near Westside","17.00","17.02","17.10","17.12","17.17","17.19","17.22","17.27","17.31",
"543","E","Near Westside","18.00","18.02","18.10","18.12","18.17","18.19","18.22","18.27","18.31",
"543","E","Near Westside","19.00","19.02","19.10","19.12","19.17","19.19","19.22","19.27","19.31",
"543","E","Near Westside","20.00","20.02","20.10","20.12","20.17","20.19","20.22","20.27","20.31",
"543","E","Near Westside","21.00","21.02","21.10","21.12","21.17","21.19","21.22","21.27","21.31",
"543","E","Near Westside","22.00","22.02","22.10","22.12","22.17","22.19","22.22","22.27","22.31",
"443","E","Warehouse","23.00","23.02","23.10","23.12","23.17","23.19",,"23.30","23.35",
"443","E","Warehouse","24.00","24.02","24.10","24.12","24.17","24.19",,"24.30","24.35",
"443","E","Warehouse","25.00","25.02","25.10","25.12","25.17","25.19",,"25.30","25.35",
"443","E","Warehouse","26.00","26.02","26.10","26.12","26.17","26.19",,"26.30","26.35",
