"Direction","Outbound",,,,,,,,,,,
"Start Date","08/29/11",,,,,,,,,,,
"End date","8/19/2012",,,,,,,,,,,
"Route","Days","Display Name","Warehouse","Learning Center","Everson Museum","Center of Excellence","Syracuse Stage","SUNY-ESF Irving Ave Garage","College Place","Manley South","Goldstein Student Center","NOTE"
,,,"43.049538,-76.158108","43.043415,-76.159385","43.044371,-76.147519","43.049453,-76.141081","43.046537,-76.137755","43.036891,-76.138195","43.036263,-76.131307","43.022861,-76.126404","43.01608,-76.119722",
"443","W","SU - Goldstein","7.50",,,"8.55","7.57","8.02","8.05","8.10","8.13",
"443","W","SU - Goldstein","8.20",,,"8.25","8.27","8.32","8.35","8.40","8.43",
"443","W","SU - Goldstein","8.50",,,"8.55","8.57","9.02","9.05","9.10","9.13",
"443","W","SU - Goldstein","9.20",,,"9.25","9.27","9.32","9.35","9.40","9.43",
"443","W","SU - Goldstein","9.25",,,"9.30","9.32","9.37","9.40","9.45","9.48",
"443","W","SU - Goldstein","9.50",,,"9.55","9.57","10.02","10.05","10.10","10.13",
"443","W","SU - Goldstein","10.20",,,"10.25","10.27","10.32","10.35","10.40","10.43",
"443","W","SU - Goldstein","10.30",,,"10.35","10.37","10.42","10.45","10.50","10.53",
"443","W","SU - Goldstein","10.55",,,"11.00","11.02","11.07","11.10","11.15","11.18",
"443","W","SU - Goldstein","11.20",,,"11.25","11.27","11.32","11.35","11.40","11.43",
"443","W","SU - Goldstein","11.35",,,"11.40","11.42","11.47","11.50","11.55","11.58",
"443","W","SU - Goldstein","12.00",,,"12.05","12.07","12.12","12.15","12.20","12.23",
"443","W","SU - Goldstein","12.20",,,"12.25","12.27","12.32","12.25","12.40","12.43",
"443","W","SU - Goldstein","12.40",,,"12.45","12.47","12.52","12.55","13.00","13.03",
"443","W","SU - Goldstein","13.00",,,"13.05","13.07","13.12","13.15","13.20","13.23",
"443","W","SU - Goldstein","13.20",,,"13.25",".13.27","13.32","13.35","13.40","13.43",
"443","W","SU - Goldstein","13.40",,,"13.45","13.47","13.52","13.55","14.00","14.03",
"443","W","SU - Goldstein","14.00",,,"14.05","14.07","14.12","14.15","14.20","14.23",
"443","W","SU - Goldstein","14.20",,,"14.25",".14.27","14.32","14.35","14.40","14.43",
"443","W","SU - Goldstein","14.40",,,"14.45","14.47","14.52","14.55","15.00","15.03",
"443","W","SU - Goldstein","15.00",,,"15.05","15.07","15.12","15.15","15.20","15.23",
"443","W","SU - Goldstein","15.20",,,"15.25",".15.27","15.32","15.35","15.40","15.43",
"443","W","SU - Goldstein","15.40",,,"15.45","15.47","15.52","15.55","16.00","16.03",
"443","W","SU - Goldstein","16.00",,,"16.05","16.07","16.12","16.15","16.20","16.23",
"443","W","SU - Goldstein","16.20",,,"16.25",".16.27","16.32","16.35","16.40","16.43",
"443","W","SU - Goldstein","16.40",,,"16.45","16.47","16.52","16.55","17.00","17.03",
"443","W","SU - Goldstein","17.00",,,"17.05","17.07","17.12","17.15","17.20","17.23",
"443","W","SU - Goldstein","17.20",,,"17.25",".17.27","17.32","17.35","17.40","17.43",
"543","W","SU - Goldstein","17.40","17.45","17.51","17.56","17.57","17.32","17.35","17.40","17.43",
"543","W","SU - Goldstein","18.15","18.20","18.26","18.31","18.32","18.38","18.39","18.44","18.51",
"543","W","SU - Goldstein","18.50","18.55","19.01","19.06","19.07","19.13","19.14","19.19","19.26",
"543","W","SU - Goldstein","19.25","19.30","19.36","19.41","19.42","19.48","19.49","19.54","20.01",
"543","W","SU - Goldstein","20.00","20.05","20.11","20.16","20.17","20.23","20.24","20.29","20.36",
"543","W","SU - Goldstein","20.35","20.40","20.46","20.51","20.52","20.58","20.59","21.04","21.11",
"543","W","SU - Goldstein","21.10","21.15","21.21","21.26","21.27","21.33","21.34","21.39","21.46",
"543","W","SU - Goldstein","21.45","21.50","21.56","22.01","22.02","22.08","22.09","22.14","22.21",
"543","W","SU - Goldstein","22.20","22.25","22.31","22.36","22.37","22.43","22.44","22.14","22.21",
"543","W","SU - Goldstein","22.55","23.00","23.06","23.11","23.12","23.18","23.19","23.24","23.31",
"443","W","SU - Goldstein","23.30","23.35",,"23.41","23.42","23.47","23.48","23.53","23.57",
"443","W","SU - Goldstein","24.30","24.35",,"24.41","24.42","24.47","24.48","24.53","24.57",
"443","W","SU - Goldstein","25.30","25.35",,"25.41","25.42","25.47","25.48","25.53","25.57",
"443","W","SU - Goldstein","26.30","26.35",,"26.41","26.42","26.47","26.48","26.53","26.57",
"443","E","SU - Goldstein","8.30",,,"8.35","8.37","8.42","8.45","8.50","9.00",
"543","E","SU - Goldstein","9.27","9.31","9.37","9.42","9.43","9.49","9.50","9.55","10.00",
"543","E","SU - Goldstein","10.27","10.31","10.37","10.42","10.43","10.49","10.50","10.55","11.00",
"543","E","SU - Goldstein","11.27","11.31","11.37","11.42","11.43","11.49","11.50","11.55","12.00",
"543","E","SU - Goldstein","12.27","12.31","12.37","12.42","12.43","12.49","12.50","12.55","13.00",
"543","E","SU - Goldstein","13.27","13.31","13.37","13.42","13.43","13.49","13.50","13.55","14.00",
"543","E","SU - Goldstein","14.27","14.31","14.37","14.42","14.43","14.49","14.50","14.55","15.00",
"543","E","SU - Goldstein","15.27","15.31","15.37","15.42","15.43","15.49","15.50","15.55","16.00",
"543","E","SU - Goldstein","16.27","16.31","16.37","16.42","16.43","16.49","16.50","16.55","17.00",
"543","E","SU - Goldstein","17.27","17.31","17.37","17.42","17.43","17.49","17.50","17.55","18.00",
"543","E","SU - Goldstein","18.27","18.31","18.37","18.42","18.43","18.49","18.50","18.55","19.00",
"543","E","SU - Goldstein","19.27","19.31","19.37","19.42","19.43","19.49","19.50","19.55","20.00",
"543","E","SU - Goldstein","20.27","20.31","20.37","20.42","20.43","20.49","20.50","20.55","21.00",
"543","E","SU - Goldstein","21.27","21.31","21.37","21.42","21.43","21.49","21.50","21.55","22.00",
"543","E","SU - Goldstein","22.27","22.31","22.37","22.42","22.43","22.49","22.50","22.55","23.00",
"443","E","SU - Goldstein","23.30","23.35",,"23.41","23.42","23.47","23.48","23.53","24.00",
"443","E","SU - Goldstein","24.30","24.35",,"24.41","24.42","24.47","24.48","24.53","25.00",
"443","E","SU - Goldstein","25.30","25.35",,"25.41","25.42","25.47","25.48","25.53","26.00",
"443","E","SU - Goldstein","26.30","26.35",,"26.41","26.42","26.47","26.48","26.53","26.55",
