"Direction","Inbound",,,,,,,
"Start Date","8/29/2011",,,,,,,
"End date","5/1/2011",,,,,,,
"Route","Days","Display Name","Skytop","Goldstein Student Center","Manley South","Manley North","College Place","NOTE"
,,,"43.010858,-76.115912","43.016084,-76.11973","43.022697,-76.126007","43.026292,-76.128887","43.037288,-76.131468",
"44","W","Manley",,"06.23","06.25","06.26","06.33",
"44","W","Manley","06.43","06.44","06.45","06.46","06.53",
"44","W","Manley",,,"07.37","07.38","07.45",
"44","W","Manley",,,"07.47","07.48","07.55",
"44","W","Manley","07.55",,"07.57","07.58","08.05",
"44","W","Manley","08.05",,"08.07","08.08","08.15",
"44","W","Manley",,,"08.17","08.18","08.25",
"44","W","Manley","08.15",,"08.17","08.18","08.25",
"44","W","Manley","08.25",,"08.27","08.28","08.35",
"44","W","Manley","08.35",,"08.37","08.38","08.45",
"44","W","Manley","08.45",,"08.47","08.48","08.55",
"44","W","Manley",,,"08.57","08.58","09.05",
"44","W","Manley","08.55",,"08.57","08.58","09.05",
"44","W","Manley","09.05",,"09.07","09.08","09.15",
"44","W","Manley",,,"09.12","09.13","09.20",
"44","W","Manley","09.15",,"09.17","09.18","09.25",
"44","W","Manley","09.35",,"09.37","09.38","09.45",
"44","W","Manley","09.55",,"09.57","09.58","10.05",
"44","W","Manley","10.15",,"10.17","10.18","10.25",
"44","W","Manley","10.35",,"10.37","10.38","10.45",
"44","W","Manley","10.55",,"10.57","10.58","11.05",
"44","W","Manley","11.15",,"11.17","11.18","11.25",
"44","W","Manley","11.35",,"11.37","11.38","11.45",
"44","W","Manley","11.55",,"11.57","11.58","12.05",
"44","W","Manley","12.15",,"12.17","12.18","12.25",
"44","W","Manley","12.35",,"12.37","12.38","12.45",
"44","W","Manley","12.55",,"12.57","12.58","13.05",
"44","W","Manley","13.15",,"13.17","13.18","13.25",
"44","W","Manley","13.35",,"13.37","13.38","13.45",
"44","W","Manley","13.55",,"13.57","13.58","14.05",
"44","W","Manley","14.15",,"14.17","14.18","14.25",
"44","W","Manley","14.35",,"14.37","14.38","14.45",
"44","W","Manley","14.55",,"14.57","14.58","15.05",
"44","W","Manley","15.15",,"15.17","15.18","15.25",
"44","W","Manley","15.35",,"15.37","15.38","15.45",
"44","W","Manley","15.55",,"15.57","15.58","16.05",
"44","W","Manley",,,"16.17","16.18","16.25",
