"Direction","Outbound",,,,,,
"Start Date","8/29/2011",,,,,,
"End date","5/1/2011",,,,,,
"Route","Days","Display Name","College Place","Manley North","Manley South","Skytop","NOTE"
,,,"43.037288,-76.131468","43.026292,-76.128887","43.022697,-76.126007","43.010858,-76.115912",
"44","W","Manley","06.33","06.38","06.39","06.43",
"44","W","Manley","07.45","07.50","07.51","07.55",
"44","W","Manley","07.55","08.00","08.01","08.05",
"44","W","Manley","08.05","08.10","08.11","08.15",
"44","W","Manley","08.15","08.20","08.21","08.25",
"44","W","Manley","08.25","08.30","08.31","08.35",
"44","W","Manley","08.35","08.40","08.41","08.45",
"44","W","Manley","08.45","08.50","08.51","08.55",
"44","W","Manley","08.55","09.00","09.01","09.05",
"44","W","Manley","09.05","09.10","09.11","09.15",
"44","W","Manley","09.15","09.20","09.21","09.25",
"44","W","Manley","09.25","09.30","09.31","09.35",
"44","W","Manley","09.45","09.50","09.51","09.55",
"44","W","Manley","10.05","10.10","10.11","00.00",
"44","W","Manley","10.25","10.30","10.31","10.35",
"44","W","Manley","10.45","10.50","10.51","10.55",
"44","W","Manley","11.05","11.10","11.11","11.15",
"44","W","Manley","11.25","11.30","11.31","11.35",
"44","W","Manley","11.45","11.50","11.51","11.55",
"44","W","Manley","12.05","12.10","12.11","12.15",
"44","W","Manley","12.25","12.30","12.31","12.35",
"44","W","Manley","12.45","12.50","12.51","12.55",
"44","W","Manley","13.05","13.10","13.11","13.15",
"44","W","Manley","13.25","13.30","13.31","13.35",
"44","W","Manley","13.45","13.50","13.51","13.55",
"44","W","Manley","14.05","14.10","14.11","14.15",
"44","W","Manley","14.25","14.30","14.31","14.35",
"44","W","Manley","14.45","14.50","14.51","14.55",
"44","W","Manley","15.05","15.10","15.11","15.15",
"44","W","Manley","15.25","15.30","15.31","15.35",
"44","W","Manley","15.45","15.50","15.51","15.55",
"44","W","Manley","16.05","16.10","16.11","16.15",
"44","W","Manley","16.25","16.30","16.31","16.35",
"44","W","Manley","16.45","16.50","16.51","16.55",
